ModelIDs,Reactions,Metabolites
sample_10023,70783,61867
sample_10025,94334,83473
sample_10029,90333,79264
sample_10031,104695,92261
sample_10036,66976,58683
sample_10037,67224,58650
sample_10038,80132,69935
sample_10040,76071,66590
sample_10046,96449,85453
sample_10048,96198,84570
sample_10052,94897,83981
sample_10058,87417,77140
sample_10060,66132,57697
sample_10080,93845,82171
sample_10092,92614,81211
sample_10100,86624,75521
sample_10105,85994,76308
sample_10106,84727,74164
sample_10107,81188,71490
sample_10114,61100,53246
sample_10132,89665,78829
sample_10135,85205,75052
sample_10144,90636,79891
sample_10150,82304,72148
sample_10151,96598,84661
sample_10158,67642,59851
sample_10169,48768,42776
sample_10183,41376,35612
sample_10188,98966,86674
sample_10197,59376,51367
sample_10200,76253,67237
sample_10206,72785,63951
sample_10207,120300,105610
sample_10208,118217,103821
sample_10212,93275,82501
sample_10215,82299,72354
sample_10219,78526,68329
sample_10221,83449,73822
sample_10223,69062,60719
sample_10226,97160,85423
sample_10229,95525,83654
sample_10231,92854,81605
sample_10235,83875,73540
sample_10244,86032,75184
sample_10246,44984,38820
sample_10250,101269,88717
sample_10254,80815,70903
sample_10258,69085,60479
sample_10259,79262,69215
sample_10262,43225,37569
sample_10269,116488,102598
sample_10271,87424,76382
sample_10272,64560,56212
sample_10273,80898,70681
sample_10274,76945,66849
sample_10298,91110,79577
sample_10301,84656,74273
sample_10302,83008,72684
sample_10304,58678,51262
sample_10315,91975,81121
sample_10317,83374,73973
sample_10318,83810,74232
sample_10320,67006,58884
sample_10325,87497,77017
sample_10335,92456,80898
sample_10339,82831,72979
sample_10340,49453,43395
sample_10341,90988,79622
sample_10349,81342,72057
sample_10350,81578,72204
sample_10353,84806,73791
sample_10354,67820,59650
sample_10356,82081,72010
sample_10357,91413,80555
sample_10362,74557,66025
sample_10364,51872,45334
sample_10378,74491,65283
sample_10390,51051,44620
sample_10456,116793,101898
sample_10463,104250,90806
sample_10465,68485,60521
sample_10473,109809,97149
sample_10486,67052,58318
sample_10487,100606,88407
sample_10489,72459,63937
sample_10497,64797,56385
sample_10504,95668,84076
sample_10508,115703,101843
sample_10510,23378,19808
sample_10512,115969,102140
sample_10515,59672,52095
sample_10519,80114,70922
sample_10537,105591,92247
sample_10541,95592,84418
sample_10543,110448,97713
sample_10559,73691,64368
sample_10562,72057,62793
sample_10570,38255,32962
sample_10577,65060,57407
sample_10583,76633,67313
sample_10585,72398,62270
sample_10586,65548,56987
sample_10587,85627,75200
sample_10589,103408,90154
sample_10591,42217,36583
sample_10592,69594,60533
sample_10593,72336,64180
sample_10618,83449,72972
sample_10620,84425,74344
sample_10621,84825,74055
sample_10622,53230,46429
sample_10627,85784,75582
sample_10632,88367,77128
sample_10639,50499,44066
sample_10647,90632,78766
sample_10657,77892,68386
sample_10659,67263,59248
sample_10661,80698,70766
sample_10663,68453,60179
sample_10678,59537,52000
sample_10684,77741,68979
sample_10698,99006,86775
sample_10701,45561,40009
sample_10716,74700,66087
sample_10726,74356,65677
sample_10733,94959,83475
sample_10741,48431,42193
sample_10776,97189,85994
sample_10784,53824,46881
sample_10788,110945,97417
sample_10794,63759,55534
sample_10797,69529,61339
sample_10801,92683,80174
sample_10802,84633,73935
sample_10804,75521,66327
sample_10805,71007,62892
sample_10807,57561,49808
sample_10808,68908,60237
sample_10817,89467,78819
sample_10832,86422,75400
sample_10835,45605,39611
sample_10838,64133,56260
sample_10850,66308,57430
sample_10869,85375,75409
sample_10889,73479,64376
sample_10890,67982,60069
sample_10907,73338,65033
sample_10913,70337,62048
sample_10924,61665,53744
sample_10947,76013,66675
sample_10968,68282,59744
sample_10976,83005,73496
sample_10990,46142,39595
sample_11031,89500,79195
sample_11035,68814,61020
sample_11049,55808,49033
sample_11057,77255,67773
sample_11062,70840,61742
sample_11106,53845,46806
sample_11124,84707,74335
sample_11159,45963,40083
sample_11168,77646,68538
sample_11170,79963,69370
sample_11171,25684,22282
sample_11203,82774,72890
sample_11209,94876,83937
sample_11210,67814,59731
sample_11213,82458,72612
sample_11223,78940,69725
sample_11226,71939,62889
sample_11227,106957,93739
sample_11243,18808,15321
sample_11255,78022,68670
sample_11294,106076,93673
sample_11299,76393,67029
sample_11311,80644,70655
sample_11343,93845,82947
sample_11354,95013,84209
sample_11369,65910,57729
sample_11379,88693,78559
sample_11389,74924,66065
sample_11409,69785,61452
sample_11413,54678,47818
sample_11419,57269,50635
sample_11431,77898,68850
sample_11432,98703,86883
sample_11434,53391,47064
sample_11448,62214,55196
sample_11449,88516,78126
sample_11450,89590,78302
sample_11451,67490,59074
sample_11452,72969,64311
sample_11454,93007,82708
sample_11459,100660,88424
sample_11464,67053,58764
sample_11467,79127,69431
sample_11473,102894,90791
sample_11475,77724,68895
sample_11477,93534,81909
sample_11480,51764,44706
sample_11486,78088,68478
sample_11487,96569,85663
sample_11489,76986,67292
sample_11492,81022,71177
sample_11495,62429,54927
sample_11501,89074,78268
sample_11513,59257,52178
sample_11521,69387,61156
sample_11524,87633,77400
sample_11526,65001,57309
sample_11527,90503,79762
sample_11528,71497,62484
sample_11580,62550,54565
sample_11607,109391,96366
sample_11626,69453,60826
sample_11638,61462,54233
sample_11641,87100,76505
sample_11675,66498,58523
sample_11682,88872,78164
sample_11694,72395,63268
sample_11710,33455,29022
sample_11720,75012,64861
sample_11754,69948,60845
sample_11788,60057,53300
sample_11796,87330,76511
sample_11818,51656,45074
sample_11821,54651,48210
sample_11822,48870,42317
sample_11873,82552,72423
sample_11885,83049,73093
sample_11927,60904,53598
sample_11942,82598,72461
sample_11955,94498,82913
sample_11965,81693,71087
sample_11984,85703,75477
sample_11996,68818,60526
sample_12016,84396,74266
sample_12070,49048,43426
sample_12082,80730,71526
sample_12101,85616,75494
sample_12106,84555,73586
sample_12165,64067,55999
sample_12197,84338,74285
sample_12204,81516,71101
sample_12242,60822,53190
sample_12243,15756,13272
sample_12276,69624,61596
sample_12340,80937,71495
